(U+0178)	c5b8	feff0178	LATIN CAPITAL LETTER Y WITH DIAERESIS
(U+0179)	c5b9	feff0179	LATIN CAPITAL LETTER Z WITH ACUTE
(U+017A)	c5ba	feff017a	LATIN SMALL LETTER Z WITH ACUTE
(U+017B)	c5bb	feff017b	LATIN CAPITAL LETTER Z WITH DOT ABOVE
(U+017C)	c5bc	feff017c	LATIN SMALL LETTER Z WITH DOT ABOVE
(U+017D)	c5bd	feff017d	LATIN CAPITAL LETTER Z WITH CARON
(U+017E)	c5be	feff017e	LATIN SMALL LETTER Z WITH CARON
(U+017F)	c5bf	feff017f	LATIN SMALL LETTER LONG S
(U+0180)	c680	feff0180	LATIN SMALL LETTER B WITH STROKE
(U+0181)	c681	feff0181	LATIN CAPITAL LETTER B WITH HOOK
(U+0182)	c682	feff0182	LATIN CAPITAL LETTER B WITH TOPBAR
(U+0183)	c683	feff0183	LATIN SMALL LETTER B WITH TOPBAR
(U+0184)	c684	feff0184	LATIN CAPITAL LETTER TONE SIX
(U+0185)	c685	feff0185	LATIN SMALL LETTER TONE SIX
(U+0186)	c686	feff0186	LATIN CAPITAL LETTER OPEN O
(U+0187)	c687	feff0187	LATIN CAPITAL LETTER C WITH HOOK
(U+0188)	c688	feff0188	LATIN SMALL LETTER C WITH HOOK
(U+0189)	c689	feff0189	LATIN CAPITAL LETTER AFRICAN D
(U+018A)	c68a	feff018a	LATIN CAPITAL LETTER D WITH HOOK
(U+018B)	c68b	feff018b	LATIN CAPITAL LETTER D WITH TOPBAR
(U+018C)	c68c	feff018c	LATIN SMALL LETTER D WITH TOPBAR
(U+018D)	c68d	feff018d	LATIN SMALL LETTER TURNED DELTA
(U+018E)	c68e	feff018e	LATIN CAPITAL LETTER REVERSED E
(U+018F)	c68f	feff018f	LATIN CAPITAL LETTER SCHWA
(U+0190)	c690	feff0190	LATIN CAPITAL LETTER OPEN E
(U+0191)	c691	feff0191	LATIN CAPITAL LETTER F WITH HOOK
(U+0192)	c692	feff0192	LATIN SMALL LETTER F WITH HOOK
(U+0193)	c693	feff0193	LATIN CAPITAL LETTER G WITH HOOK
(U+0194)	c694	feff0194	LATIN CAPITAL LETTER GAMMA
(U+0195)	c695	feff0195	LATIN SMALL LETTER HV
(U+0196)	c696	feff0196	LATIN CAPITAL LETTER IOTA
(U+0197)	c697	feff0197	LATIN CAPITAL LETTER I WITH STROKE
(U+0198)	c698	feff0198	LATIN CAPITAL LETTER K WITH HOOK
